Bus,VSI_norm,Load_norm,Dist_norm,Combined
1,0,0,0,0
2,0.00737696082123692,0.0105416666666667,0.00868504,0.0295960128227322
3,0.0451642019076797,0.0094875,0.055111321,0.0545101198567969
4,0.0811688943573716,0.01265,0.089576954,0.0977698404643396
5,0.107799447911137,0.006325,0.125465137,0.0875930108728772
6,0.174517107246714,0.006325,0.220676136,0.143113408863815
7,0.223424901130128,0.0210833333333333,0.270964514,0.255363462141084
8,0.278039113508653,0.0210833333333333,0.330019043,0.297795027892873
9,0.338478009946024,0.006325,0.440453819,0.27728716430562
10,0.425907739486635,0.006325,0.55176209,0.347893219501664
11,0.523445177146106,0.00474375,0.568083975,0.401432218445332
12,0.532676339191646,0.006325,0.599167933,0.419975298207482
13,0.67733333466383,0.006325,0.762823536,0.533520236710465
14,0.773138473381498,0.01265,0.841094964,0.635909031148239
15,0.630167012427286,0.006325,0.910787419,0.52865984072019
16,0.758526690219613,0.006325,0.991354891,0.619084699718577
17,0.8780972429569,0.006325,1.179156403,0.721329858524968
18,1,0.0094875,1.260641046,0.824
19,0.00694220096191221,0.0094875,0.028681846,0.0271944902063915
20,0.00703490443574221,0.0094875,0.207099522,0.0557527288670018
21,0.00705338276186043,0.0094875,0.262497849,0.0646137773479586
22,0.00707000803621873,0.0094875,0.36520843,0.0810318398615534
23,0.0479284742411417,0.0094875,0.102498447,0.0637503722690404
24,0.0476117553935442,0.044275,0.20276948,0.255577312270162
25,0.0482246660565083,0.044275,0.302416588,0.271866257219373
26,0.183900331706252,0.006325,0.239793206,0.151836653264881
27,0.186067599363236,0.006325,0.266553362,0.157421039851904
28,0.186799752351237,0.006325,0.390882954,0.177725057722664
29,0.220284441598093,0.01265,0.484771232,0.24495497527795
30,0.490836438125969,0.0210833333333333,0.532563909,0.458722534987066
31,0.215339535476105,0.0158125,0.653443194,0.284912640204035
32,0.217259477616063,0.0221375,0.69539593,0.32477460908428
33,0.239458319612472,0.006325,0.749752301,0.266870457460302
