Solution,Scenario,EV_Mult,Feasible,Vmin_pu,WorstBus,TotalLoss_pu,MeanCurt,MaxCurt,VoltSlack,TotalQg_pu
C0_NoSupport,S1_low,1.4,0,0.873794692186301,18,0.504739636862459,0,0,0,0
C1_QgOnly,S1_low,1.4,1,0.950000000837898,17,0.346234908975432,0,0,0,6.44511299037776
C2_WeakBus,S1_low,1.4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C3_VSI7,S1_low,1.4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C0_NoSupport,S2_medium,1.6,0,0.852837590323292,18,0.580093043510191,0,0,0,0
C1_QgOnly,S2_medium,1.6,1,0.950000000200915,17,0.421245101235794,0,0,0,7.13208770439463
C2_WeakBus,S2_medium,1.6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C3_VSI7,S2_medium,1.6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C0_NoSupport,S3_high,1.8,0,0.830832555666025,18,0.67111995679414,0,0,0,0
C1_QgOnly,S3_high,1.8,1,0.950000000095512,17,0.522425385268249,0,0,0,7.93753600181801
C2_WeakBus,S3_high,1.8,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C3_VSI7,S3_high,1.8,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C0_NoSupport,S4_extreme,2,0,0.807601977525695,18,0.780268434776,0,0,0,0
C1_QgOnly,S4_extreme,2,1,0.950000000010669,17,0.662980348882656,0,0,0,9.40105104327138
C2_WeakBus,S4_extreme,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C3_VSI7,S4_extreme,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
