N_e_budget,N_s_min,N_e_used_STATCOM,Vmin_STATCOM,Loss_STATCOM,N_b_min,N_e_used_ESS,Vmin_ESS,Loss_ESS
0,7,0,0.950000000025206,0.532460518627614,3,0,0.950000000313607,0.436128863449721
4,5,4,0.95000003746947,0.334619605881608,2,4,0.950000002132,0.290137139585082
8,3,8,0.95000000082649,0.222377237784754,2,8,0.95000000397189,0.195783435941422
12,2,12,0.95000000027444,0.165618261327902,2,12,0.95196405108222,0.15303308805205
16,2,16,0.950000007432724,0.128618316606332,1,16,0.950715754265927,0.136813599095513
20,2,20,0.950000036926684,0.107030536181843,1,20,0.950000002470532,0.114904040572218
24,2,24,0.950000001261272,0.0904979865484985,1,24,0.952111228588435,0.0937732143506747
28,2,28,0.952142115396695,0.0810458911334316,1,28,0.953230546877986,0.0847678270264925
32,2,32,0.950000019224612,0.0785943178321214,1,32,0.95433795847029,0.0826199220127095
