rho,u_min,MinN_ES_feasible,N_ES_selected,ES_Buses,Vmin_pu,WorstBus,TotalLoss_pu,MeanCurt,SolveTime_s
0.3,0,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN
0.3,0.1,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN
0.3,0.2,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN
0.3,0.3,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN
0.4,0,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN
0.4,0.1,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN
0.4,0.2,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN
0.4,0.3,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN
0.5,0,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN
0.5,0.1,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN
0.5,0.2,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN
0.5,0.3,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN
0.6,0,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN
0.6,0.1,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN
0.6,0.2,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN
0.6,0.3,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN
0.7,0,24,24,[4 6 7 8 9 10 11 12 13 14 15 16 17 18 24 25 26 27 28 29 30 31 32 33],0.952332640890958,18,0.0680793301675444,0.978770875327181,2.1669398
0.7,0.1,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN
0.7,0.2,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN
0.7,0.3,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN
0.8,0,16,16,[7 8 10 12 13 14 15 16 17 18 24 25 29 30 31 32],0.950827572838004,33,0.0726110912422587,0.999218379147769,3.8972768
0.8,0.1,24,24,[4 6 7 8 9 10 11 12 13 14 15 16 17 18 24 25 26 27 28 29 30 31 32 33],0.955441194787003,18,0.0592216128545841,0.885734120366351,2.4227324
0.8,0.2,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN
0.8,0.3,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN
